Unnamed: 0,#,player name,age,ba,class,pos,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,hbp,sh,sf,iw,gdp,tb,pa,xbh,1b,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr,hilvl,mlb years,stat years,draft info,Year
,24,Evan Williams,0,R,Fr,of,31,68,8,9,3,0,0,7,2,1,11,23,1,1,1,0,2,12,82,3,6,.132,.259,.176,.436,.221,.044,.196,13.41,28.05,2.09,--,College,--,2018-2021,--,2018
,34,Jason Drees,0,L,So,of,27,37,2,9,1,0,0,4,0,0,5,13,1,0,0,0,0,10,43,1,8,.243,.349,.270,.619,.162,.027,.375,11.63,30.23,2.60,--,College,--,2017-2018,--,2018
,2,Braden Stutzman,0,B,Rs-So,c-if,24,22,7,4,1,0,0,4,0,0,6,6,0,3,0,0,1,5,31,1,3,.182,.357,.227,.584,.318,.045,.250,19.35,19.35,1.00,--,College,--,2017-2020,--,2018
,26,Trevor Windisch,0,R,Fr,if,8,7,1,1,0,0,0,1,0,0,0,4,0,0,0,0,0,1,7,0,1,.143,.143,.143,.286,.000,.000,.333,0.00,57.14,--,--,College,--,2018-2019,--,2018
,41,Alex Andranovich,0,R,Fr,of,14,6,3,1,0,0,0,2,0,0,1,2,0,0,1,0,0,1,8,0,1,.167,.250,.167,.417,.167,.000,.200,12.50,25.00,2.00,--,College,--,2018-2019,--,2018
,11,Matt Mercer,21,R,Jr,p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,A+,--,2016-2022,2018- 5- 159-ARI,2018
,--,Totals,--,--,--,--,608,1781,236,426,79,6,25,215,51,24,216,425,62,27,28,0,22,592,2114,110,316,.239,.337,.332,.670,.230,.093,.295,10.22,20.10,1.97,71.24,--,--,--,0,2018
,#,player name,age,ba,class,pos,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,hbp,sh,sf,iw,gdp,tb,pa,xbh,1b,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr,hilvl,mlb years,stat years,draft info,2024
,25,Jacob Walsh,21,L,Jr,1b,60,228,38,58,13,0,18,56,1,0,31,70,4,0,4,0,7,125,267,31,27,.254,.348,.548,.897,.434,.294,.278,11.61,26.22,2.26,12.67,College,--,2022-2024,--,2024
,17,Drew Smith,21,R,So,if,56,204,38,64,16,0,4,29,5,2,29,61,10,1,1,0,7,92,245,20,44,.314,.422,.451,.873,.294,.137,.429,11.84,24.90,2.10,51.00,College,--,2023-2024,--,2024
,3,Carter Garate,20,L,So,if,60,194,41,56,13,0,3,27,2,3,21,58,12,8,1,0,3,78,236,16,40,.289,.390,.402,.792,.216,.113,.396,8.90,24.58,2.76,64.67,College,--,2023-2024,--,2024
,28,Bryce Boettcher,21,R,Sr,if,56,192,46,53,7,0,12,35,15,2,20,42,11,7,3,0,1,96,233,19,34,.276,.372,.500,.872,.396,.224,.291,8.58,18.03,2.10,16.00,College,--,2021-2024,2024- 13- 403-HOU,2024
,35,Jeffery Heard,21,L,Jr,of,51,177,34,53,16,1,4,30,1,1,23,38,4,1,3,0,3,83,208,21,32,.299,.386,.469,.855,.299,.169,.355,11.06,18.27,1.65,44.25,College,--,2022-2024,--,2024
,16,Bennett Thompson,21,R,Jr,c,50,168,35,48,8,3,3,24,8,2,22,28,9,0,3,0,5,71,202,14,34,.286,.391,.423,.814,.304,.137,.321,10.89,13.86,1.27,56.00,College,--,2022-2024,2024- 13- 385-CLE,2024
,27,Chase Meggers,21,L,So,c,46,152,32,48,8,1,5,33,2,3,12,26,10,3,3,0,0,73,180,14,34,.316,.395,.480,.876,.237,.164,.347,6.67,14.44,2.17,30.40,College,--,2023-2024,--,2024
,26,Mason Neville,20,L,So,of,56,149,36,40,5,3,16,43,8,4,25,60,1,0,4,0,4,99,179,24,16,.268,.369,.664,1.033,.591,.396,.312,13.97,33.52,2.40,9.31,College,--,2023-2024,2022- 18- 543-CIN,2024
,77,Anson Aroz,21,B,Rs-So,c,45,146,27,41,9,0,6,25,2,1,15,35,5,2,1,0,2,68,169,15,26,.281,.365,.466,.831,.295,.185,.330,8.88,20.71,2.33,24.33,College,--,2022-2024,--,2024
,9,Maddox Molony,0,R,Fr,if,43,143,32,45,4,1,10,31,2,1,13,28,8,1,0,0,3,81,165,15,30,.315,.402,.566,.969,.350,.252,.333,7.88,16.97,2.15,14.30,College,--,2024-2024,--,2024
,31,Justin Cassella,22,R,Sr,if-of,45,124,29,31,5,0,7,28,12,2,25,34,7,1,2,0,3,57,159,12,19,.250,.399,.460,.858,.492,.210,.282,15.72,21.38,1.36,17.71,College,--,2021-2024,--,2024
,12,Ryan Cooney,19,R,Fr,if,47,79,16,16,1,1,6,12,0,0,11,22,3,2,0,0,3,37,95,8,8,.203,.323,.468,.791,.405,.266,.196,11.58,23.16,2.00,13.17,College,--,2024-2024,--,2024
,45,Dominic Hellman,20,R,So,if,24,59,6,16,2,0,4,9,0,1,3,26,1,0,0,0,0,30,63,6,10,.271,.317,.508,.826,.271,.237,.414,4.76,41.27,8.67,14.75,College,--,2023-2024,--,2024
,6,Jack Brooks,20,L,Rs-Fr,2b,29,17,10,5,0,0,0,1,3,1,3,2,1,1,0,0,1,5,22,0,5,.294,.429,.294,.723,.294,.000,.333,13.64,9.09,0.67,--,College,--,2024-2024,--,2024
,34,Luke Honikel,0,L,Jr,of,11,10,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,13,0,1,.100,.250,.100,.350,.100,.000,.111,7.69,7.69,1.00,--,College,--,2022-2024,--,2024
,--,Totals,--,--,--,--,679,2042,420,575,107,10,98,383,61,23,254,531,87,28,25,0,42,996,2436,215,360,.282,.380,.488,.868,.349,.206,.332,10.43,21.80,2.09,20.84,--,--,--,0,2024
,#,player name,age,ba,class,pos,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,hbp,sh,sf,iw,gdp,tb,pa,xbh,1b,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr,hilvl,mlb years,stat years,draft info,2015
,37,Mitchell Tolman,21,L,Jr,if,62,231,43,75,20,2,3,42,11,6,44,40,13,2,1,0,7,108,291,25,50,.325,.457,.468,.924,.355,.143,.381,15.12,13.75,0.91,77.00,AAA,--,2013-2023,2015- 7- 217-PIT,2015
,42,Phil Craig-St. Louis,0,L,Jr,of,62,216,33,64,8,2,2,38,4,2,30,33,4,12,4,0,2,82,266,12,52,.296,.386,.380,.765,.231,.083,.335,11.28,12.41,1.10,108.00,Indy,--,2015-2018,--,2015
,32,Brandon Cuddy,21,L,Jr,1b,58,200,32,49,8,4,4,35,2,0,23,47,7,4,3,0,1,77,237,16,33,.245,.339,.385,.724,.265,.140,.296,9.70,19.83,2.04,50.00,Indy,--,2013-2017,--,2015
,28,Matt Eureste,21,L,Jr,ss,54,179,24,44,10,1,1,24,7,6,18,34,4,5,1,0,4,59,207,12,32,.246,.327,.330,.656,.190,.084,.297,8.70,16.43,1.89,179.00,A+,--,2012-2019,2011- 40-1208-CLE,2015
,24,Mark Karaviotis,19,R,So,ss,59,174,27,47,9,3,1,18,5,4,28,43,13,12,1,0,3,65,228,13,34,.270,.407,.374,.781,.270,.103,.351,12.28,18.86,1.54,174.00,AA,--,2014-2023,2016- 19- 569-ARI,2015
,27,Jakob Goldfarb,19,L,Fr,c,54,171,25,45,6,2,2,17,1,0,24,48,7,4,4,0,2,61,210,10,35,.263,.369,.357,.726,.240,.094,.344,11.43,22.86,2.00,85.50,A,--,2015-2023,2019- 24- 710-CHA,2015
,9,Scott Heineman,22,R,Rs-Jr,of,50,169,28,49,12,0,4,23,16,6,21,30,5,6,3,0,3,73,204,16,33,.290,.379,.432,.811,.325,.142,.326,10.29,14.71,1.43,42.25,MLB,2019-2021,2012-2022,2015- 11- 318-TEX,2015
,22,Austin Grebeck,20,R,So,of,53,140,29,34,10,3,1,25,8,4,25,31,3,15,2,0,4,53,185,14,20,.243,.365,.379,.743,.343,.136,.300,13.51,16.76,1.24,140.00,AAA,--,2014-2017,2016- 21- 627-SEA,2015
,6,Tim Susnara,19,L,Fr,c,43,121,14,27,4,0,0,16,0,1,10,27,3,1,4,0,2,31,139,4,23,.223,.290,.256,.546,.107,.033,.276,7.19,19.42,2.70,--,AAA,--,2015-2023,2017- 8- 232-ARI,2015
,16,Shaun Chase,0,R,Sr,c,45,118,18,23,6,1,6,19,0,0,21,49,5,3,1,0,1,49,148,13,10,.195,.338,.415,.753,.398,.220,.266,14.19,33.11,2.33,19.67,College,--,2012-2015,--,2015
,7,Nick Catalano,0,R,Jr,of,47,115,17,25,4,1,2,13,3,0,10,25,6,9,0,0,0,37,140,7,18,.217,.313,.322,.635,.217,.104,.261,7.14,17.86,2.50,57.50,College,--,2013-2016,--,2015
,26,Daniel Patzlaff,0,B,Fr,if,46,106,14,20,1,0,0,10,4,7,19,23,1,7,0,0,3,21,133,1,19,.189,.317,.198,.516,.160,.009,.241,14.29,17.29,1.21,--,College,--,2015-2018,--,2015
,18,Josh Graham,21,R,Jr,c,19,59,8,13,4,0,2,12,0,1,7,20,1,0,0,0,0,23,67,6,7,.220,.313,.390,.703,.271,.169,.297,10.45,29.85,2.86,29.50,AA,--,2013-2022,2015- 4- 120-ATL,2015
,20,J.B. Bryant,0,B,Rs-Sr,of,45,36,13,6,0,0,0,5,1,1,7,7,1,0,0,0,2,6,44,0,6,.167,.318,.167,.485,.194,.000,.207,15.91,15.91,1.00,--,College,--,2013-2015,--,2015
,1,Kyle Kasser,19,L,Fr,ss,26,24,7,5,1,0,0,7,0,0,5,2,1,0,1,0,0,6,31,1,4,.208,.355,.250,.605,.250,.042,.217,16.13,6.45,0.40,--,AAA,--,2015-2023,2018- 30- 902-KCA,2015
,29,Steven Packard,23,L,Sr,of,6,17,2,1,1,0,0,3,0,0,2,4,2,1,0,0,0,2,22,1,0,.059,.238,.118,.356,.176,.059,.077,9.09,18.18,2.00,--,College,--,2010-2016,--,2015
,34,Spencer Smith,0,R,Rs-Jr,of,21,8,4,1,1,0,0,1,4,0,0,2,0,0,1,0,0,2,9,1,0,.125,.111,.250,.361,.625,.125,.143,0.00,22.22,--,--,College,--,2014-2015,--,2015
,--,Totals,--,--,--,--,750,2084,338,528,105,19,28,308,66,38,294,465,76,81,26,0,34,755,2561,152,376,.253,.362,.362,.724,.263,.109,.309,11.48,18.16,1.58,74.43,--,--,--,0,2015
,#,player name,age,ba,class,pos,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,hbp,sh,sf,iw,gdp,tb,pa,xbh,1b,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr,hilvl,mlb years,stat years,draft info,2014
,13,Tyler Baumgartner,0,L,--,of,64,255,50,73,16,7,3,42,7,5,23,49,10,4,1,0,7,112,293,26,47,.286,.367,.439,.806,.251,.153,.343,7.85,16.72,2.13,85.00,College,--,2013-2014,--,2014
,20,Aaron Payne,22,L,,if,64,231,50,59,8,4,2,17,17,7,23,61,31,11,0,0,2,81,296,14,45,.255,.396,.351,.747,.238,.095,.339,7.77,20.61,2.65,115.50,Indy,--,2011-2015,--,2014
,4,Kyle Garlick,22,R,,of,63,231,30,58,14,4,5,42,5,2,21,51,2,8,3,0,7,95,265,23,35,.251,.315,.411,.726,.264,.160,.298,7.92,19.25,2.43,46.20,MLB,2019-2023,2011-2024,2015- 28- 852-LAN,2014
,37,Mitchell Tolman,20,L,--,if,64,219,45,69,18,5,2,49,5,3,31,54,20,4,4,0,5,103,278,25,44,.315,.438,.470,.908,.306,.155,.401,11.15,19.42,1.74,109.50,AAA,--,2013-2023,2015- 7- 217-PIT,2014
,15,AJ Balta,0,L,--,ut,63,211,32,51,12,3,3,29,7,2,21,50,7,5,2,0,2,78,246,18,33,.242,.328,.370,.697,.251,.128,.300,8.54,20.33,2.38,70.33,College,--,2014-2018,--,2014
,16,Shaun Chase,0,R,--,c,54,145,26,41,9,0,14,37,1,1,15,49,1,6,1,0,3,92,168,23,18,.283,.352,.634,.986,.455,.352,.325,8.93,29.17,3.27,10.36,College,--,2012-2015,--,2014
,24,Mark Karaviotis,18,R,--,ss,58,142,27,36,3,2,0,23,7,2,19,49,10,17,5,0,1,43,193,5,31,.254,.369,.303,.672,.218,.049,.367,9.84,25.39,2.58,--,AA,--,2014-2023,2016- 19- 569-ARI,2014
,22,Austin Grebeck,19,R,--,of,57,126,15,32,8,0,0,19,4,4,20,18,3,9,0,0,0,40,158,8,24,.254,.369,.317,.687,.222,.063,.296,12.66,11.39,0.90,--,AAA,--,2014-2017,2016- 21- 627-SEA,2014
,7,Nick Catalano,0,R,--,of,46,84,21,21,6,0,0,10,10,3,23,26,5,10,0,0,0,27,122,6,15,.250,.438,.321,.759,.429,.071,.362,18.85,21.31,1.13,--,College,--,2013-2016,--,2014
,39,J.B. Bryant,0,B,--,of,46,82,15,18,1,0,0,15,3,1,9,17,4,2,3,0,2,19,100,1,17,.220,.316,.232,.548,.146,.012,.265,9.00,17.00,1.89,--,College,--,2013-2015,--,2014
,29,Steven Packard,22,L,--,of,38,69,11,20,3,2,1,11,0,0,8,11,2,1,1,0,1,30,81,6,14,.290,.375,.435,.810,.261,.145,.328,9.88,13.58,1.38,69.00,College,--,2010-2016,--,2014
,18,Josh Graham,20,R,--,c,27,62,11,17,3,0,0,3,1,0,8,17,1,0,0,0,2,20,71,3,14,.274,.366,.323,.689,.194,.048,.378,11.27,23.94,2.13,--,AA,--,2013-2022,2015- 4- 120-ATL,2014
,14,Jack Kruger,19,R,--,c,28,53,8,11,2,0,1,6,1,0,6,13,0,3,0,0,1,16,62,3,8,.208,.288,.302,.590,.226,.094,.256,9.68,20.97,2.17,53.00,AAA,--,2014-2022,2016- 20- 606-ANA,2014
,9,Kevin Minjares,0,R,--,if,51,49,3,12,1,0,0,4,3,0,4,2,0,2,0,0,0,13,55,1,11,.245,.302,.265,.567,.163,.020,.255,7.27,3.64,0.50,--,College,--,2012-2014,--,2014
,6,Scott Heineman,21,R,--,of,8,35,5,6,2,0,0,2,3,3,1,8,1,0,2,0,0,8,39,2,4,.171,.205,.229,.434,.086,.057,.207,2.56,20.51,8.00,--,MLB,2019-2021,2012-2022,2015- 11- 318-TEX,2014
,11,Desmond Santos,0,R,,if,30,30,11,5,2,0,0,1,1,1,4,6,4,3,0,0,0,7,41,2,3,.167,.342,.233,.575,.200,.067,.208,9.76,14.63,1.50,--,College,--,2013-2014,--,2014
,1,Connor Hofmann,22,L,--,of,11,27,5,6,1,0,0,2,1,0,1,8,0,1,0,0,0,7,29,1,5,.222,.250,.259,.509,.111,.037,.316,3.45,27.59,8.00,--,Indy,--,2011-2018,2010- 16- 484-SDN,2014
,28,Craig Meredith,0,R,--,if,11,11,3,2,1,0,0,0,0,0,1,3,0,1,0,0,0,3,13,1,1,.182,.250,.273,.523,.182,.091,.250,7.69,23.08,3.00,--,College,--,2013-2014,--,2014
,2,Jerry Houston,0,R,--,if,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,--,--,College,--,2014-2014,--,2014
,--,Totals,--,--,--,--,784,2063,368,537,110,27,31,312,76,34,238,492,101,87,22,0,33,794,2511,168,369,.260,.361,.385,.746,.260,.125,.324,9.48,19.59,2.07,66.55,--,--,--,0,2014
,#,player name,age,ba,class,pos,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,hbp,sh,sf,iw,gdp,tb,pa,xbh,1b,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr,hilvl,mlb years,stat years,draft info,2016
,22,Austin Grebeck,21,R,Jr,of,55,200,53,50,5,3,1,15,8,2,42,36,7,11,1,0,0,64,261,9,41,.250,.396,.320,.716,.310,.070,.299,16.09,13.79,0.86,200.00,AAA,--,2014-2017,2016- 21- 627-SEA,2016
,6,Tim Susnara,20,L,So,c,55,183,21,49,14,0,2,24,5,0,30,38,5,3,0,0,3,69,221,16,33,.268,.385,.377,.762,.301,.109,.329,13.57,17.19,1.27,91.50,AAA,--,2015-2023,2017- 8- 232-ARI,2016
,33,AJ Balta,0,L,Rs-So,ut,50,178,29,39,7,4,9,47,6,5,20,36,8,0,6,0,1,81,212,20,19,.219,.316,.455,.771,.354,.236,.216,9.43,16.98,1.80,19.78,College,--,2014-2018,--,2016
,2,Travis Moniot,19,B,Fr,ss,53,167,25,28,6,0,5,18,5,1,24,53,4,7,1,0,1,49,203,11,17,.168,.286,.293,.579,.293,.126,.209,11.82,26.11,2.21,33.40,A+,--,2016-2021,2018- 17- 498-CHA,2016
,26,Daniel Patzlaff,0,B,So,if,54,159,19,38,4,1,1,23,3,3,24,24,3,5,2,0,1,47,193,6,32,.239,.346,.296,.641,.208,.057,.272,12.44,12.44,1.00,159.00,College,--,2015-2018,--,2016
,29,Steven Packard,24,L,Rs-Sr,of,47,154,22,38,12,1,4,33,1,0,16,28,2,2,3,0,1,64,177,17,21,.247,.320,.416,.736,.279,.169,.272,9.04,15.82,1.75,38.50,College,--,2010-2016,--,2016
,1,Kyle Kasser,20,L,So,ss,49,143,25,38,7,0,0,21,7,1,23,19,0,9,1,0,2,45,176,7,31,.266,.365,.315,.680,.252,.049,.304,13.07,10.80,0.83,--,AAA,--,2015-2023,2018- 30- 902-KCA,2016
,32,Jake Bennett,0,L,Rs-Jr,o,44,138,27,43,8,0,0,25,2,4,24,18,3,5,2,0,1,51,172,8,35,.312,.419,.370,.789,.217,.058,.352,13.95,10.47,0.75,--,College,--,2014-2017,--,2016
,42,Phil Craig-St. Louis,0,L,Sr,of,35,89,10,15,2,1,3,10,1,1,9,25,0,0,0,0,3,28,98,6,9,.169,.245,.315,.560,.247,.146,.197,9.18,25.51,2.78,29.67,Indy,--,2015-2018,--,2016
,23,Jakob Goldfarb,20,L,So,c,40,83,9,18,3,0,1,8,3,0,6,24,2,2,0,0,1,24,93,4,14,.217,.286,.289,.575,.181,.072,.293,6.45,25.81,4.00,83.00,A,--,2015-2023,2019- 24- 710-CHA,2016
